SIMAN Run Controller.

10047.04 Seconds>
                                      ARENA Simulation Results
                                      Jacob - License: STUDENT

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date : 2/19/2015
Analyst: Jacob                                                       Model revision date: 2/19/2015

Replication ended at time      : 10800.0 Seconds 
Base Time Units: Seconds

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Customer.VATime                             1040.4     (Insuf)    .00000     6500.5        187    
Customer.NVATime                            .00000     (Insuf)    .00000     .00000        187    
Customer.WaitTime                           28.629     (Insuf)    .00000     216.01        187    
Customer.TranTime                           214.68     (Insuf)    90.000     330.00        187    
Customer.OtherTime                          .00000     (Insuf)    .00000     .00000        187    
Customer.TotalTime                          1283.7     (Insuf)    117.77     6740.5        187    
Gold Fish.VATime                                --         --         --         --          0
Gold Fish.NVATime                               --         --         --         --          0
Gold Fish.WaitTime                              --         --         --         --          0
Gold Fish.TranTime                              --         --         --         --          0
Gold Fish.OtherTime                             --         --         --         --          0
Gold Fish.TotalTime                             --         --         --         --          0
Cook.VATime                                 .00000     (Insuf)    .00000     .00000        193    
Cook.NVATime                                .00000     (Insuf)    .00000     .00000        193    
Cook.WaitTime                               .00000     (Insuf)    .00000     .00000        193    
Cook.TranTime                               .00000     (Insuf)    .00000     .00000        193    
Cook.OtherTime                              .00000     (Insuf)    .00000     .00000        193    
Cook.TotalTime                              .00000     (Insuf)    .00000     .00000        193    
Cash Out.Queue.WaitingTime                  47.904     (Insuf)    .00000     216.01         56    
Dining Process.Queue.WaitingTime            .00000     (Insuf)    .00000     .00000        166    
Food Service Time.Queue.WaitingTime         .78531     (Insuf)    .00000     35.992        203    
Cash Register.Queue.WaitingTime             3.3333     (Insuf)    .00000     35.150         71    
Special Order.Queue.WaitingTime             40.290     (Insuf)    .00000     207.17         64    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Customer.WIP                                24.197     (Corr)     .00000     37.000     22.000    
Gold Fish.WIP                               23.612     (Insuf)    .00000     25.000     25.000    
Cook.WIP                                    .00000     (Insuf)    .00000     1.0000     .00000    
Wade.NumberBusy                             .21917     (Insuf)    .00000     1.0000     .00000    
Wade.NumberScheduled                        1.0000     (Insuf)    1.0000     1.0000     1.0000    
Wade.Utilization                            .21917     (Insuf)    .00000     1.0000     .00000    
Tommie.NumberBusy                           .24559     (Insuf)    .00000     1.0000     .00000    
Tommie.NumberScheduled                      1.0000     (Insuf)    1.0000     1.0000     1.0000    
Tommie.Utilization                          .24559     (Insuf)    .00000     1.0000     .00000    
Table 10.NumberBusy                         .32304     (Insuf)    .00000     1.0000     .00000    
Table 10.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 10.Utilization                        .32304     (Insuf)    .00000     1.0000     .00000    
Table 11.NumberBusy                         .48122     (Insuf)    .00000     1.0000     .00000    
Table 11.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 11.Utilization                        .48122     (Insuf)    .00000     1.0000     .00000    
