
                                      ARENA Simulation Results
                                      Jacob - License: STUDENT

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date :12/10/2015
Analyst: Jacob                                                       Model revision date:12/10/2015

Replication ended at time      : 10800.0 Seconds 
Base Time Units: Seconds

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Customer.VATime                             978.28     (Insuf)    .00000     7318.5        164    
Customer.NVATime                            .00000     (Insuf)    .00000     .00000        164    
Customer.WaitTime                           11.358     (Insuf)    .00000     145.47        164    
Customer.TranTime                           215.78     (Insuf)    90.000     330.00        164    
Customer.OtherTime                          .00000     (Insuf)    .00000     .00000        164    
Customer.TotalTime                          1205.4     (Insuf)    114.96     7528.5        164    
Gold Fish.VATime                                --         --         --         --          0
Gold Fish.NVATime                               --         --         --         --          0
Gold Fish.WaitTime                              --         --         --         --          0
Gold Fish.TranTime                              --         --         --         --          0
Gold Fish.OtherTime                             --         --         --         --          0
Gold Fish.TotalTime                             --         --         --         --          0
Cash Out.Queue.WaitingTime                  17.152     (Insuf)    .00000     145.47         63    
Dining Process.Queue.WaitingTime            .00000     (Insuf)    .00000     .00000        149    
Food Service Time.Queue.WaitingTime         .11472     (Insuf)    .00000     9.4067         82    
Cash Register.Queue.WaitingTime             5.7513     (Insuf)    .00000     63.308         54    
Special Order.Queue.WaitingTime             11.106     (Insuf)    .00000     120.89         49    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Customer.WIP                                20.786     (Corr)     .00000     35.000     20.000    
Gold Fish.WIP                               22.665     (Insuf)    .00000     25.000     25.000    
Wade.NumberBusy                             .18901     (Insuf)    .00000     1.0000     .00000    
Wade.NumberScheduled                        1.0000     (Insuf)    1.0000     1.0000     1.0000    
Wade.Utilization                            .18901     (Insuf)    .00000     1.0000     .00000    
Tommie.NumberBusy                           .09703     (Insuf)    .00000     1.0000     .00000    
Tommie.NumberScheduled                      1.0000     (Insuf)    1.0000     1.0000     1.0000    
Tommie.Utilization                          .09703     (Insuf)    .00000     1.0000     .00000    
Table 10.NumberBusy                         .44088     (Insuf)    .00000     1.0000     .00000    
Table 10.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 10.Utilization                        .44088     (Insuf)    .00000     1.0000     .00000    
Table 11.NumberBusy                         .51782     (Insuf)    .00000     1.0000     1.0000    
Table 11.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 11.Utilization                        .51782     (Insuf)    .00000     1.0000     1.0000    
Table 12.NumberBusy                         .42607     (Insuf)    .00000     1.0000     1.0000    
Table 12.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 12.Utilization                        .42607     (Insuf)    .00000     1.0000     1.0000    
Table 13.NumberBusy                         .42306     (Insuf)    .00000     1.0000     .00000    
Table 13.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 13.Utilization                        .42306     (Insuf)    .00000     1.0000     .00000    
Table 14.NumberBusy                         .35238     (Insuf)    .00000     1.0000     1.0000    
