
                                      ARENA Simulation Results
                                      Jacob - License: STUDENT

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :12/10/2015
Analyst: Jacob                                                       Model revision date:12/10/2015

Replication ended at time      : 180.0 Minutes 
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Customer.VATime                             14.154     (Insuf)    .00000     94.967        178    
Customer.NVATime                            .00000     (Insuf)    .00000     .00000        178    
Customer.WaitTime                           .40139     (Insuf)    .00000     2.7928        178    
Customer.TranTime                           3.4140     (Insuf)    1.5000     5.5000        178    
Customer.OtherTime                          .00000     (Insuf)    .00000     .00000        178    
Customer.TotalTime                          17.969     (Insuf)    2.0047     98.617        178    
Gold Fish.VATime                                --         --         --         --          0
Gold Fish.NVATime                               --         --         --         --          0
Gold Fish.WaitTime                              --         --         --         --          0
Gold Fish.TranTime                              --         --         --         --          0
Gold Fish.OtherTime                             --         --         --         --          0
Gold Fish.TotalTime                             --         --         --         --          0
Cook.VATime                                 .01667     (Insuf)    .00000     1.0000         60    
Cook.NVATime                                .00000     (Insuf)    .00000     .00000         60    
Cook.WaitTime                               .00000     (Insuf)    .00000     .00000         60    
Cook.TranTime                               .00000     (Insuf)    .00000     .00000         60    
Cook.OtherTime                              .00000     (Insuf)    .00000     .00000         60    
Cook.TotalTime                              .01667     (Insuf)    .00000     1.0000         60    
Cash Out.Queue.WaitingTime                  .60805     (Insuf)    .00000     2.1201         65    
Dining Process.Queue.WaitingTime            .00000     (Insuf)    .00000     .00000        157    
Food Service Time.Queue.WaitingTime         .07085     (Insuf)    .00000     .87265        193    
Cash Register.Queue.WaitingTime             .09733     (Insuf)    .00000     .80837         69    
Special Order.Queue.WaitingTime             .44910     (Insuf)    .00000     2.3554         51    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Customer.WIP                                20.247     (Corr)     .00000     31.000     24.000    
Gold Fish.WIP                               22.997     (Insuf)    .00000     25.000     25.000    
Cook.WIP                                    .00556     (Insuf)    .00000     1.0000     .00000    
Wade.NumberBusy                             .24337     (Insuf)    .00000     1.0000     .00000    
Wade.NumberScheduled                        1.0000     (Insuf)    1.0000     1.0000     1.0000    
Wade.Utilization                            .24337     (Insuf)    .00000     1.0000     .00000    
Tommie.NumberBusy                           .23350     (Insuf)    .00000     1.0000     .00000    
Tommie.NumberScheduled                      1.0000     (Insuf)    1.0000     1.0000     1.0000    
Tommie.Utilization                          .23350     (Insuf)    .00000     1.0000     .00000    
Table 10.NumberBusy                         .61216     (Insuf)    .00000     1.0000     1.0000    
Table 10.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 10.Utilization                        .61216     (Insuf)    .00000     1.0000     1.0000    
Table 11.NumberBusy                         .26287     (Insuf)    .00000     1.0000     1.0000    
Table 11.NumberScheduled                    1.0000     (Insuf)    1.0000     1.0000     1.0000    
Table 11.Utilization                        .26287     (Insuf)    .00000     1.0000     1.0000    
Table 12.NumberBusy                         .34118     (Insuf)    .00000     1.0000     1.0000    
